pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numrecover,percentrecover,ratetested,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7
46,Manitoba,Manitoba,2020-04-30,,264,11,6,275,24304,220,80.00,17747,2,0.73,20.08,0.44,0,2.18,487,7,17.82,49,3.58,25,1.83,1,0.07,13,0.95,0,0.00,2,0.14,0,0.00
35,Ontario,Ontario,2020-04-30,,16187,0,1082,16187,268447,10205,63.04,18429,459,2.92,111.12,7.43,86,6.68,12505,593,30.27,4900,33.64,7226,49.61,659,4.52,3308,22.71,369,2.53,473,3.24,53,0.36
24,Quebec,Québec,2020-04-30,,27538,0,1859,27538,214047,6299,22.87,25227,944,3.55,324.55,21.91,98,6.75,5068,251,70.38,19380,228.40,11681,137.67,1229,14.48,5700,67.18,616,7.26,814,9.60,88,1.04
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-04-30,,258,0,3,258,8376,225,87.21,16060,0,0.00,49.47,0.58,0,1.16,185,0,11.63,30,5.75,6,1.15,0,0.00,2,0.38,0,0.00,0,0.05,0,0.00
13,New Brunswick,Nouveau-Brunswick,2020-04-30,,118,0,0,118,13598,114,96.61,17505,0,0.00,15.19,0.00,0,0.00,477,0,3.39,4,0.51,1,0.13,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-04-30,,947,0,28,947,29421,545,57.55,30287,12,1.28,97.49,2.88,0,2.96,690,16,39.49,374,38.50,368,37.88,25,2.57,120,12.35,12,1.24,17,1.76,2,0.18
11,Prince Edward Island,Île-du-Prince-Édouard,2020-04-30,,27,0,0,27,2922,24,88.89,18618,0,0.00,17.20,0.00,0,0.00,112,0,11.11,3,1.91,1,0.64,0,0.00,1,0.64,0,0.00,0,0.09,0,0.00
60,Yukon,Yukon,2020-04-30,,11,0,0,11,984,9,81.82,24086,0,0.00,26.93,0.00,0,0.00,11,1,18.18,2,4.90,3,7.34,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
61,Northwest Territories,Territoires du Nord-Ouest,2020-04-30,,5,0,0,5,1629,5,100.00,36341,0,0.00,11.15,0.00,0,0.00,21,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
62,Nunavut,Nunavut,2020-04-30,,0,0,0,0,396,0,N/A,10211,0,0.00,0.00,0.00,0,,4,0,,,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
99,Repatriated travellers,Voyageurs rapatriés,2020-04-30,,13,0,,13,76,,,,0,0.00,,,,,0,,,,,0,,0,,0,,0,,0,,0,
1,Canada,Canada,2020-04-30,,53225,11,3184,53236,806449,21424,40.24,21454,1639,3.18,141.63,8.47,188,5.98,26836,1097,53.78,28628,76.16,23144,61.57,1991,5.30,11126,29.60,1038,2.76,1589,4.23,148,0.39
59,British Columbia,Colombie-Britannique,2020-05-01,,2145,0,112,2145,75544,1357,63.26,14896,33,1.56,42.30,2.21,1,5.22,2065,35,31.52,676,13.33,570,11.24,35,0.69,292,5.76,14,0.28,42,0.82,2,0.04
48,Alberta,Alberta,2020-05-01,,5573,0,92,5573,145420,2359,42.33,33267,218,4.07,127.49,2.10,3,1.65,4360,198,56.02,3122,71.42,3176,72.66,42,0.96,1556,35.60,20,0.46,222,5.09,3,0.07
47,Saskatchewan,Saskatchewan,2020-05-01,,415,0,6,415,28417,297,71.57,24196,26,6.68,35.34,0.51,0,1.45,631,2,26.99,112,9.54,108,9.20,2,0.17,74,6.30,2,0.17,11,0.90,0,0.02
46,Manitoba,Manitoba,2020-05-01,,268,11,6,279,24975,235,84.23,18237,4,1.45,20.37,0.44,0,2.15,671,15,13.62,38,2.77,29,2.12,1,0.07,16,1.17,0,0.00,2,0.17,0,0.00
